Conf.,Award,Time,Topic,Room,Name,Type
BELIV,,14:00 – 14:55,Sanity Check for Class-coloring-based Evaluation of Dimension Reduction techniques,Auditorium,Michaël Aupetit,Papers
,,,,,,
BELIV,,14:55 – 15:35,Experience Reports,Auditorium,Michael Sedlmair,Papers Session
BELIV,,14:55 – 15:35,Oopsy-Daisy: Failure Stories in Quantitative Evaluation Studies for Visualizations,Auditorium,"Sung-Hee Kim, Ji Soo Yi, Niklas Elmqvist",Papers
BELIV,,14:55 – 15:35,"Pre-Design Empiricism for Information Visualization: Scenarios, Methods, and Challenges",Auditorium,"Matthew Brehmer, Sheelagh Carpendale, Bongshin Lee, Melanie Tory",Papers
BELIV,,14:55 – 15:35,Field Experiment Methodology for Pair Analytics,Auditorium,"Linda Kaastra, Brian Fisher",Papers
BELIV,,14:55 – 15:35,Utility Evaluation of Models,Auditorium,"Jean Scholtz, Oriana Love, Mark Whiting, Duncan Hodges, Lia Emanuel, Danae Stanton Fraser",Papers
,,,,,,
BELIV,,15:35 – 15:40,Brief Introduction to break-out groups,Auditorium,,
,,,,,,
BELIV,,16:15 – 17:50,Break-out group discussions,Auditorium,,
,,,,,,
,,Tuesday 11 November 2014,,,,
VIS,,8:00 – 9:30,Keynote: The Island of Knowledge and the Shorelines of Wonder. Visualization and Infographics for an Enlightned World,Scene ABC,Alberto Cairo,Keynote
VIS,,9:30 – 10:00,VIS Paper Fast Forward,Scene ABC,,
,,,,,,
VAST,,10:30 – 12:10,Fundamentals of Visual Analytics,Scene C,Patricia Crossno,Papers Session
VAST,,10:30 – 12:10,Knowledge Generation Model for Visual Analytics,Scene C,"Dominik Sacha, Andreas Stoffel, Florian Stoffel, Bum Chul Kwon, Geoffrey Ellis, Daniel Keim",Papers
VAST,,10:30 – 12:10,INFUSE: Interactive Feature Selection for Predictive Modelling of High Dimensional Data,Scene C,"Josua Krause, Adam Perer, Enrico Bertini",Papers
VAST,,10:30 – 12:10,Transforming Scagnostics to Reveal Hidden Features,Scene C,"Tuan Dang, Leland Wilkinson",Papers
VAST,,10:30 – 12:10,"Towards Interactive, Intelligent, and Integrated Multimedia Analytics",Scene C,"Jan Zahálka, Marcel Worring",Papers
,,,,,,
InfoVis,,10:30 – 12:20,Techniques,Scene B,Nathalie Henry-Riche,Papers Session
InfoVis,,10:30 – 12:20,UpSet: Visualization of Intersecting Sets,Scene B,"Alexander Lex, Nils Gehlenborg, Hendrik Strobelt, Romain Vuillemot, Hanspeter Pfister",Papers
InfoVis,,10:30 – 12:20,OnSet: A visualization technique for large-scale binary set data,Scene B,"Ramik Sadana, Timothy Major, Alistair Dove, John Stasko",Papers
InfoVis,,10:30 – 12:20,DimpVis: Exploring Time-varying Information Visualizations by Direct Manipulation,Scene B,"Brittany Kondo, Christopher Collins",Papers
InfoVis,,10:30 – 12:20,Axis Calibration for Improving Data Attribute Estimation in Star Coordinates Plots,Scene B,"Manuel Rubio-Sánchez, Alberto Sanchez",Papers
InfoVis,HM,10:30 – 12:20,"Domino: Extracting, Comparing, and Manipulating Subsets across Multiple Tabular Datasets",Scene B,"Samuel Gratzl, Nils Gehlenborg, Alexander Lex, Hanspeter Pfister, Marc Streit",Papers
,,,,,,
SciVis,,10:30 – 12:10,Volume Visualization Systems,Scene A,Chris Johnson,Papers Session
SciVis,,10:30 – 12:10,Predicate-based Focus-and-Context Visualization for 3D Ultrasound,Scene A,"Christian Schulte zu Berge, Maximilian Baust, Nassir Navab, Ankur Kapoor",Papers
SciVis,,10:30 – 12:10,ViSlang: A System for Interpreted Domain-Specific Languages for Scientific Visualization,Scene A,"Peter Rautek, Stefan Bruckner, Eduard Gröller, Markus Hadwiger",Papers
SciVis,,10:30 – 12:10,Interactive Progressive Visualization with Space-Time Error Control,Scene A,"Steffen Frey, Filip Sadlo, Kwan-Liu Ma, Thomas Ertl",Papers
SciVis,,10:30 – 12:10,Vivaldi: A Domain-Specific Language for Volume Processing and Visualization on Distributed Heterogeneous Systems,Scene A,"HyungSuk Choi, Woohyuk Choi, Tran Minh Quan, David Hildebrand, Hanspeter Pfister, Won-Ki Jeong",Papers
,,,,,,
VIS,,14:00 – 15:40,Data with a cause: Visualization for policy change,Auditorium,"Greg McInerny, Scott David, Toby Green, Tariq Khokhar",Panels
,,,,,,
VAST,,14:00 – 15:40,Empowering Users in Visual Analytics,Scene C,Jonathan Roberts,Papers Session
VAST,BP,14:00 – 15:40,Supporting Communication and Coordination in Collaborative Sensemaking,Scene C,"Narges Mahyar, Melanie Tory",Papers
VAST,,14:00 – 15:40,Opening the Black Box: Strategies for Increased User Involvement in Existing Algorithm Implementations,Scene C,"Thomas Mühlbacher, Harald Piringer, Samuel Gratzl, Michael Sedlmair, Marc Streit",Papers
VAST,,14:00 – 15:40,Progressive Visual Analytics: User-Driven Visual Exploration of In-Progress Analytics,Scene C,"Charles D. Stolper, Adam Perer, David Gotz",Papers
VAST,,14:00 – 15:40,Finding Waldo: Learning about Users from their Interactions,Scene C,"Eli T. Brown, Alvitta Ottley, Jieqiong Zhao, Quan Lin, Richard Souvenir, Alex Endert, Remco Chang",Papers
VAST,,14:00 – 15:40,Interactive Visual Analysis of Image-Centric Cohort Study Data,Scene C,"Paul Klemm, Steffen Oeltze, Kai Lawonn, Kathrin Hegenscheid, Henry Völzke, Bernhard Preim",Papers
,,,,,,
InfoVis,,14:00 – 15:40,Maps & Trees,Scene B,Remco Chang,Papers Session
InfoVis,,14:00 – 15:40,Analyzing Multivariate Geographical Data,Scene B,"Cagatay Turkay, Aidan Slingsby, Helwig Hauser, Jo Wood, Jason Dykes",Papers
InfoVis,,14:00 – 15:40,Origin-Destination Flow Data Smoothing and Mapping,Scene B,"Diansheng Guo, Xi Zhu",Papers
InfoVis,,14:00 – 15:40,Stenomaps: Shorthand for Shapes,Scene B,"Arthur van Goethem, Andreas Reimer, Bettina Speckmann, Jo Wood",Papers
InfoVis,,14:00 – 15:40,Nmap: A Novel Neighborhood Preservation Space-filling Algorithm,Scene B,"Felipe S. L. G. Duarte, Fabio Sikansi, Francisco M. Fatore, Samuel G. Fadel, Fernando V. Paulovich",Papers
InfoVis,,14:00 – 15:40,Tree Colors: Color Schemes for Tree-Structured Data,Scene B,"Martijn Tennekes, Edwin de Jonge",Papers
,,,,,,
SciVis,,14:00 – 15:40,Scalar Analysis and Volume Rendering,Scene A,Hammish Carr,Papers Session
SciVis,,14:00 – 15:40,Sparse PDF Volumes for Consistent Multi-Resolution Volume Rendering,Scene A,"Ronell Sicat, Jens Krueger, Torsten Möller, Markus Hadwiger",Papers
SciVis,,14:00 – 15:40,Multiscale Symmetry Detection in Scalar Fields by Clustering Contours,Scene A,"Dilip Thomas, Vijay Natarajan",Papers
SciVis,,14:00 – 15:40,Low-Pass Filtered Volumetric Shadows,Scene A,"Marco Ament, Filip Sadlo, Carsten Dachsbacher, Daniel Weiskopf",Papers
SciVis,,14:00 – 15:40,Boundary Aware Reconstruction of Scalar Fields,Scene A,"Stefan Lindholm, Daniel Jönsson, Charles Hansen, Anders Ynnerman",Papers
SciVis,,14:00 – 15:40,Direct Isosurface Ray Casting of NURBS-based Isogeometric Analysis,Scene A,"Andre Schollmeyer, Bernd Froehlich",Papers
,,,,,,
VAST,,16:15 – 17:55,Clustering and Classification,Scene C,Jimmy Johansson,Papers Session
VAST,,16:15 – 17:55,Visual Abstraction and Exploration of Multi-class Scatterplots,Scene C,"Haidong Chen, Wei Chen, Honghui Mei, Zhiqi Liu, Kun Zhou, Weifeng Chen, Wentao Gu, Kwan-Liu Ma",Papers
